module,hemi,roi,col.name,com,ind
Subcortical,lh,VSi,Sub.vsi,2,1
Subcortical,lh,VSs,Sub.vss,2,2
Subcortical,lh,DC,Sub.dc,2,3
Subcortical,lh,DCP,Sub.dcp,2,4
Subcortical,lh,DRP,Sub.drp,2,5
Subcortical,lh,VRP,Sub.vrp,2,6
Subcortical,rh,Vsi,Sub.vsi,2,7
Subcortical,rh,VSs,Sub.vss,2,8
Subcortical,rh,DC,Sub.dc,2,9
Subcortical,rh,DCP,Sub.dc,2,10
Subcortical,rh,DRP,Sub.drp,2,11
Subcortical,rh,VRP,Sub.vrp,2,12
Subcortical,rh,Amy,Sub.amy,1,13
Subcortical,lh,Amy,Sub.amy,1,14
Visual,lh,C.Striate,Visc.striate,3,15
Visual,lh,C.ExStr,Visc.exstr,3,16
Visual,lh,P.Striate,Visp.striate,3,17
Visual,lh,P.ExStrInf,Visp.exstrinf,3,18
Visual,lh,P.ExStrSup,Visp.exstrsup,3,19
Visual,rh,C.Striate,Visc.striate,3,20
Visual,rh,C.ExStr,Visc.exstr,3,21
Visual,rh,P.Striate,Visp.striate,3,22
Visual,rh,P.ExStrInf,Visp.exstrinf,3,23
Visual,rh,P.ExStrSup,Visp.exstrsup,3,24
Somatomotor,lh,A.SomMot,Soma.sommot,4,25
Somatomotor,lh,B.Cent,Somb.cent,4,26
Somatomotor,lh,B.S2,Somb.s2,4,27
Somatomotor,lh,B.Ins,Somb.ins,4,28
Somatomotor,lh,B.Aud,Somb.aud,4,29
Somatomotor,rh,A.SomMot,Soma.sommot,4,30
Somatomotor,rh,B.Cent,Somb.cent,4,31
Somatomotor,rh,B.S2,Somb.s2,4,32
Somatomotor,rh,B.Ins,Somb.ins,4,33
Somatomotor,rh,B.Aud,Somb.aud,4,34
Limbic,lh,A.TempPole,Limba.temppole,4,35
Limbic,lh,B.OFC,Limbb.ofc,4,36
Limbic,rh,A.TempPole,Limba.temppole,4,37
Limbic,rh,B.OFC,Limbb.ofc,4,38
Control,lh,A.Temp,Conta.temp,5,39
Control,lh,A.IPS,Conta.ips,5,40
Control,lh,A.PFCd,Conta.pfcd,5,41
Control,lh,A.PFCl,Conta.pfcl,5,42
Control,lh,A.PFClv,Conta.pfclv,5,43
Control,lh,A.Cinga,Conta.cinga,5,44
Control,lh,B.Temp,Contb.temp,5,45
Control,lh,B.IPL,Contb.ipl,5,46
Control,lh,B.PFCd,Contb.pfcd,5,47
Control,lh,B.PFCl,Contb.pfcl,5,48
Control,lh,B.PFClv,Contb.pfclv,5,49
Control,lh,B.PFCmp,Contb.pfcmp,5,50
Control,lh,C.pCun,Contc.pcun,5,51
Control,lh,C.Cingp,Contc.cingp,5,52
Control,rh,A.Temp,Conta.temp,5,53
Control,rh,A.IPS,Conta.ips,5,54
Control,rh,A.PFCd,Conta.pfcd,5,55
Control,rh,A.PFCl,Conta.pfcl,5,56
Control,rh,A.Cinga,Conta.cinga,5,57
Control,rh,B.Temp,Contb.temp,5,58
Control,rh,B.IPL,Contb.ipl,5,59
Control,rh,B.PFCld,Contb.pfcld,5,60
Control,rh,B.PFClv,Contb.pfclv,5,61
Control,rh,B.PFCmp,Contb.pfcmp,5,62
Control,rh,C.pCun,Contc.pcun,5,63
Control,rh,C.Cingp,Contc.cingp,5,64
VentAttn,lh,A.ParOper,Venta.paroper,6,65
VentAttn,lh,A.PrCv,Venta.prcv,6,66
VentAttn,lh,A.Ins,Venta.ins,6,67
VentAttn,lh,A.ParMed,Venta.parmed,6,68
VentAttn,lh,A.FrMed,Venta.frmed,6,69
VentAttn,lh,B.IPL,Ventb.ipl,6,70
VentAttn,lh,B.PFCd,Ventb.pfcd,6,71
VentAttn,lh,B.PFCl,Ventb.pfcl,6,72
VentAttn,lh,B.PFCv,Ventb.pfcv,6,73
VentAttn,lh,B.OFC,Ventb.ofc,6,74
VentAttn,lh,B.PFCmp,Ventb.pfcmp,6,75
VentAttn,rh,A.ParOper,Venta.paroper,6,76
VentAttn,rh,A.PrC,Venta.prc,6,77
VentAttn,rh,A.PrCv,Venta.prcv,6,78
VentAttn,rh,A.Ins,Venta.ins,6,79
VentAttn,rh,A.ParMed,Venta.parmed,6,80
VentAttn,rh,A.FrMed,Venta.frmed,6,81
VentAttn,rh,B.IPL,Ventb.ipl,6,82
VentAttn,rh,B.PFCd,Ventb.pfcd,6,83
VentAttn,rh,B.PFCl,Ventb.pfcl,6,84
VentAttn,rh,B.PFClv,Ventb.pfcv,6,85
VentAttn,rh,B.PFCv,Ventb.pfcv,6,86
VentAttn,rh,B.PFCmp,Ventb.pfcmp,6,87
VentAttn,rh,B.Cinga,Ventb.cinga,6,88
DorsAttn,lh,A.TempOcc,Dorsa.tempocc,7,89
DorsAttn,lh,A.ParOcc,Dorsa.parocc,7,90
DorsAttn,lh,A.SPL,Dorsa.spl,7,91
DorsAttn,lh,B.TempOcc,Dorsb.tempocc,7,92
DorsAttn,lh,B.PostC,Dorsb.postc,7,93
DorsAttn,lh,B.FEF,Dorsb.fef,7,94
DorsAttn,lh,B.PrCv,Dorsb.prcv,7,95
DorsAttn,rh,A.TempOcc,Dorsa.tempocc,7,96
DorsAttn,rh,A.ParOcc,Dorsa.parocc,7,97
DorsAttn,rh,A.SPL,Dorsa.spl,7,98
DorsAttn,rh,B.TempOcc,Dorsb.tempocc,7,99
DorsAttn,rh,B.PostC,Dorsb.postc,7,100
DorsAttn,rh,B.FEF,Dorsb.fef,7,101
DorsAttn,rh,B.PrCv,Dorsb.prcv,7,102
Default,lh,A.TPJ,DMNa.tpj,8,103
Default,lh,A.PFCd,DMNa.pfcd,8,104
Default,lh,A.PCC,DMNa.pcc,8,105
Default,lh,A.PFCm,DMNa.pfcm,8,106
Default,lh,B.Temp,DMNb.temp,8,107
Default,lh,B.TPJ,DMNb.tpj,8,108
Default,lh,B.PFCd,DMNb.pfcd,8,109
Default,lh,B.PFCl,DMNb.pfcl,8,110
Default,lh,B.PFCv,DMNb.pfcv,8,111
Default,lh,C.TPJ,DMNc.tpj,8,112
Default,lh,C.Rsp,DMNc.rsp,8,113
Default,lh,C.PHC,DMNc.phc,8,114
Default,lh,D.TempPar,DMNd.temppar,8,115
Default,rh,A.Temp,DMNa.temp,8,116
Default,rh,A.TPJ,DMNa.tpj,8,117
Default,rh,A.PFCd,DMNa.pfcd,8,118
Default,rh,A.PCC,DMNa.pcc,8,119
Default,rh,A.PFCm,DMNa.pfcm,8,120
Default,rh,B.Temp,DMNb.temp,8,121
Default,rh,B.AntTemp,DMNb.anttemp,8,122
Default,rh,B.PFCd,DMNb.pfcd,8,123
Default,rh,B.PFCv,DMNb.pfcv,8,124
Default,rh,C.TPJ,DMNc.tpj,8,125
Default,rh,C.Rsp,DMNc.rsp,8,126
Default,rh,C.PHC,DMNc.phc,8,127
Default,rh,D.TempPar,DMNd.temppar,8,128
