orig.roi,orig.ind,new.roi,new.reind,new.ind,com
VisCent_Striate.rh,1,VisCent_Striate.lh,58,1,3
VisCent_ExStr.rh,2,VisCent_ExStr.lh,59,2,3
VisPeri_Striate.rh,3,VisPeri_Striate.lh,60,3,3
VisPeri_ExStrInf.rh,4,VisPeri_ExStrInf.lh,61,4,3
VisPeri_ExStrSup.rh,5,VisPeri_ExStrSup.lh,62,5,3
SomMotA.rh,6,VisCent_Striate.rh,1,6,3
SomMotB_Cent.rh,7,VisCent_ExStr.rh,2,7,3
SomMotB_S2.rh,8,VisPeri_Striate.rh,3,8,3
SomMotB_Ins.rh,9,VisPeri_ExStrInf.rh,4,9,3
SomMotB_Aud.rh,10,VisPeri_ExStrSup.rh,5,10,3
DorsAttnA_TempOcc.rh,11,SomMotA.lh,63,11,4
DorsAttnA_ParOcc.rh,12,SomMotB_Cent.lh,64,12,4
DorsAttnA_SPL.rh,13,SomMotB_S2.lh,65,13,4
DorsAttnB_TempOcc.rh,14,SomMotB_Ins.lh,66,14,4
DorsAttnB_PostC.rh,15,SomMotB_Aud.lh,67,15,4
DorsAttnB_FEF.rh,16,SomMotA.rh,6,16,4
DorsAttnB_PrCv.rh,17,SomMotB_Cent.rh,7,17,4
SalVentAttnA_ParOper.rh,18,SomMotB_S2.rh,8,18,4
SalVentAttnA_PrC.rh,19,SomMotB_Ins.rh,9,19,4
SalVentAttnA_PrCv.rh,20,SomMotB_Aud.rh,10,20,4
SalVentAttnA_Ins.rh,21,Limbic_TempPole.lh,86,21,4
SalVentAttnA_ParMed.rh,22,Limbic_OFC.lh,87,22,4
SalVentAttnA_FrMed.rh,23,Limbic_TempPole.rh,31,23,4
SalVentAttnB_IPL.rh,24,Limbic_OFC.rh,32,24,4
SalVentAttnB_PFCd.rh,25,ContA_Temp.lh,88,25,5
SalVentAttnB_PFCl.rh,26,ContA_IPS.lh,89,26,5
SalVentAttnB_PFClv.rh,27,ContA_PFCd.lh,90,27,5
SalVentAttnB_PFCv.rh,28,ContA_PFCl.lh,91,28,5
SalVentAttnB_PFCmp.rh,29,ContA_PFClv.lh,92,29,5
SalVentAttnB_Cinga.rh,30,ContA_Cinga.lh,93,30,5
Limbic_TempPole.rh,31,ContB_Temp.lh,94,31,5
Limbic_OFC.rh,32,ContB_IPL.lh,95,32,5
ContA_Temp.rh,33,ContB_PFCd.lh,96,33,5
ContA_IPS.rh,34,ContB_PFCl.lh,97,34,5
ContA_PFCd.rh,35,ContB_PFClv.lh,98,35,5
ContA_PFCl.rh,36,ContB_PFCmp.lh,99,36,5
ContA_Cinga.rh,37,ContC_pCun.lh,100,37,5
ContB_Temp.rh,38,ContC_Cingp.lh,101,38,5
ContB_IPL.rh,39,ContA_Temp.rh,33,39,5
ContB_PFCld.rh,40,ContA_IPS.rh,34,40,5
ContB_PFClv.rh,41,ContA_PFCd.rh,35,41,5
