module,hemi,roi,com,ind
sub-l,lh,VSi.lh,1,1
sub-l,lh,VSs.lh,1,2
sub-l,lh,DC.lh,1,3
sub-l,lh,DCP.lh,1,4
sub-l,lh,DRP.lh,1,5
sub-l,lh,VRP.lh,1,6
sub-r,rh,VSi.rh,1,7
sub-r,rh,VSs.rh,1,8
sub-r,rh,DC.rh,1,9
sub-r,rh,DCP.rh,1,10
sub-r,rh,DRP.rh,1,11
sub-r,rh,VRP.rh,1,12
sub-r,rh,amy.rh,1,13
sub-r,lh,amy.lh,1,14
VisCent-l,lh,Striate,2,15
VisCent,lh,ExStr,2,16
VisPeri,lh,Striate,2,17
VisPeri,lh,ExStrInf,2,18
VisPeri,lh,ExStrSup,2,19
VisCent,rh,Striate,2,20
VisCent,rh,ExStr,2,21
VisPeri,rh,Striate,2,22
VisPeri,rh,ExStrInf,2,23
VisPeri,rh,ExStrSup,2,24
SomMotA,lh,SomMotA,3,25
SomMotB,lh,Cent,3,26
SomMotB,lh,S2,3,27
SomMotB,lh,Ins,3,28
SomMotB,lh,Aud,3,29
SomMotA,rh,SomMotA,3,30
SomMotB,rh,Cent,3,31
SomMotB,rh,S2,3,32
SomMotB,rh,Ins,3,33
SomMotB,rh,Aud,3,34
LimbicA,lh,TempPole,4,35
LimbicB,lh,OFC,4,36
LimbicA,rh,TempPole,4,37
LimbicB,rh,OFC,4,38
ContA,lh,Temp,5,39
ContA,lh,IPS,5,40
ContA,lh,PFCd,5,41
ContA,lh,PFCl,5,42
ContA,lh,PFClv,5,43
ContA,lh,Cinga,5,44
ContB,lh,Temp,5,45
ContB,lh,IPL,5,46
ContB,lh,PFCd,5,47
ContB,lh,PFCl,5,48
ContB,lh,PFClv,5,49
ContB,lh,PFCmp,5,50
ContC,lh,pCun,5,51
ContC,lh,Cingp,5,52
ContA,rh,Temp,5,53
ContA,rh,IPS,5,54
ContA,rh,PFCd,5,55
ContA,rh,PFCl,5,56
ContA,rh,Cinga,5,57
ContB,rh,Temp,5,58
ContB,rh,IPL,5,59
ContB,rh,PFCld,5,60
ContB,rh,PFClv,5,61
ContB,rh,PFCmp,5,62
ContC,rh,pCun,5,63
ContC,rh,Cingp,5,64
SalVentAttnA,lh,ParOper,6,65
SalVentAttnA,lh,PrCv,6,66
SalVentAttnA,lh,Ins,6,67
SalVentAttnA,lh,ParMed,6,68
SalVentAttnA,lh,FrMed,6,69
SalVentAttnB,lh,IPL,6,70
SalVentAttnB,lh,PFCd,6,71
SalVentAttnB,lh,PFCl,6,72
SalVentAttnB,lh,PFCv,6,73
SalVentAttnB,lh,OFC,6,74
SalVentAttnB,lh,PFCmp,6,75
SalVentAttnA,rh,ParOper,6,76
SalVentAttnA,rh,PrC,6,77
SalVentAttnA,rh,PrCv,6,78
SalVentAttnA,rh,Ins,6,79
SalVentAttnA,rh,ParMed,6,80
SalVentAttnA,rh,FrMed,6,81
SalVentAttnB,rh,IPL,6,82
SalVentAttnB,rh,PFCd,6,83
SalVentAttnB,rh,PFCl,6,84
SalVentAttnB,rh,PFClv,6,85
SalVentAttnB,rh,PFCv,6,86
SalVentAttnB,rh,PFCmp,6,87
SalVentAttnB,rh,Cinga,6,88
DorsAttnA,lh,TempOcc,7,89
DorsAttnA,lh,ParOcc,7,90
DorsAttnA,lh,SPL,7,91
DorsAttnB,lh,TempOcc,7,92
DorsAttnB,lh,PostC,7,93
DorsAttnB,lh,FEF,7,94
DorsAttnB,lh,PrCv,7,95
DorsAttnA,rh,TempOcc,7,96
DorsAttnA,rh,ParOcc,7,97
DorsAttnA,rh,SPL,7,98
DorsAttnB,rh,TempOcc,7,99
DorsAttnB,rh,PostC,7,100
DorsAttnB,rh,FEF,7,101
DorsAttnB,rh,PrCv,7,102
DefaultA,lh,IPL,8,103
DefaultA,lh,PFCd,8,104
DefaultA,lh,PCC,8,105
DefaultA,lh,PFCm,8,106
DefaultB,lh,Temp,8,107
DefaultB,lh,IPL,8,108
DefaultB,lh,PFCd,8,109
DefaultB,lh,PFCl,8,110
DefaultB,lh,PFCv,8,111
DefaultC,lh,IPL,8,112
DefaultC,lh,Rsp,8,113
DefaultC,lh,PHC,8,114
DefaultD,lh,TempPar,8,115
DefaultA,rh,Temp,8,116
DefaultA,rh,IPL,8,117
DefaultA,rh,PFCd,8,118
DefaultA,rh,PCC,8,119
DefaultA,rh,PFCm,8,120
DefaultB,rh,Temp,8,121
DefaultB,rh,AntTemp,8,122
DefaultB,rh,PFCd,8,123
DefaultB,rh,PFCv,8,124
DefaultC,rh,IPL,8,125
DefaultC,rh,Rsp,8,126
DefaultC,rh,PHC,8,127
DefaultD,rh,TempPar,8,128
